"ECO_CODE","ECOREGION","PROV_CODE","PROVINCE","RLM_CODE","REALM","ALT_CODE","ECO_CODE_X","Lat_Zone","artisanal_fishing","cumulative_impacts.gri","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","inorganic","night_lights","ocean_acidification","oil_rigs","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","population","sst","uv"
20110,"Andaman Sea Coral Coast",24,"Andaman",5,"Western Indo-Pacific",106,110,"Tropical",0.00414443644597657,3.5151210578039,0.443912096854068,0.309418428222722,0.145702129416747,0.00983529398080996,0.0019952970672614,0.787116146074549,1.84517319466577e-05,0.00119767364951785,0.0023902438861509,0.00791768833727675,0.000822394255046494,0.0301556332919168,1.32797884246882,0.442516304987055
20111,"Western Sumatra",24,"Andaman",5,"Western Indo-Pacific",107,111,"Tropical",0.00333970062061841,3.19722303235821,0.10995479100516,0.0949660805390974,0.0639089810645703,0.00843606995584224,0.000144377144540802,1.05962050484882,0,0.00245696360072583,0.00771601373546105,0.006992321953397,0.000741896983573289,0.010511175112275,1.2166010266898,0.611833120337393
20112,"Gulf of Tonkin",25,"South China Sea",6,"Central Indo-Pacific",116,112,"Tropical",0.00327951423191906,3.48992555396446,0.439172279642317,0.394759577763727,0.0984853271208794,0.0348257763880577,0.00476959292521145,0.792531053816304,0.000424588951761398,0.0120531125985497,0.00368117631594052,0.0630818565170875,0.00770898178367128,0.0357447207743493,1.18214050085291,0.417267493887404
20113,"Southern China",25,"South China Sea",6,"Central Indo-Pacific",118,113,"Tropical",0.00209874370084739,4.04394795179204,0.637037507015008,0.579295261741516,0.162071005699948,0.0318686830418992,0.00803760361120546,0.724627597724141,0.000223355731048533,0.0170272416891854,0.00373008425390533,0.0379570338389788,0.00449941388015162,0.0345148340204882,1.30663695595379,0.494322616474031
20114,"South China Sea Oceanic Islands",25,"South China Sea",6,"Central Indo-Pacific",117,114,"Tropical",0,3.66459793944127,0.129992056943203,0.177573009438107,0.089412100125232,0,5.44657278618401e-06,1.10913042523629,0,0.0100666146368311,0.0395180968616292,0,0,0,1.52517563748916,0.583724540804921
20115,"Gulf of Thailand",26,"Sunda Shelf",6,"Central Indo-Pacific",113,115,"Tropical",0.00296906766715213,2.93938419851157,0.413782556892802,0.31247033605519,0.14465782101329,0.025381841615262,0.00410683640286508,0.521190390103368,0.000612824151722358,6.46703394029833e-05,0.00443203471245341,0.0288424635086678,0.00592406113005156,0.025973452179384,1.02851258722368,0.420463241383562
20116,"Southern Vietnam",26,"Sunda Shelf",6,"Central Indo-Pacific",114,116,"Tropical",0.00129688407907839,3.06548058303215,0.481731544787855,0.428815003446402,0.153212839016254,0.0243930032909831,0.00271619123780196,0.610187285995855,0.0031523267936956,0.00234950568756097,0.00987271928969466,0.0378502616722688,0.00695615897865553,0.0215503918173518,0.942567017587753,0.338829442166259
20117,"Sunda Shelf/Java Sea",26,"Sunda Shelf",6,"Central Indo-Pacific",115,117,"Tropical",0.00392456825932046,3.27475868539359,0.502276755468238,0.355259576952604,0.20173963541118,0.0157388878385554,0.000855715884568035,0.610611735499535,0.00162593167595661,0.00713320936292422,0.0348255195367011,0.0211197319047897,0.00345710632382904,0.0148578934994597,1.07336171409138,0.42797069665831
20118,"Malacca Strait",26,"Sunda Shelf",6,"Central Indo-Pacific",112,118,"Tropical",0.00251153162102576,3.17904422189029,0.494729072887412,0.356696136665455,0.192057297215302,0.0531337092805739,0.00776981536651743,0.547043470635948,0.00011602957603033,0.00126958569266286,0.0048823383617239,0.0896689403902725,0.015379976159303,0.0562542664870844,0.992726179034053,0.36480585768871
20119,"Southern Java",27,"Java Transitional",6,"Central Indo-Pacific",109,119,"Tropical",0.00612740764297168,3.47093516191174,0.0777918096417087,0.0622093745830425,0.0448355890111957,0.0162352757172793,0.000553433844106692,1.07598053361657,0.000535868983715611,0.00117934966603461,0.00790863045183921,0.011332049801589,0.0020617560297961,0.00912441422242444,1.50495474294212,0.650104913924103
